username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Godsword_s,2017-10-03 19:52,0,1,https://www. facebook.com/sylvaintc/vide os/10156010059374869/ … #GunContolNow #Vegas #VegasStrong,,,#GunContolNow #Vegas #VegasStrong,915409273961803776,https://twitter.com/Godsword_s/status/915409273961803776
gbrownfox10,2017-10-04 20:42,5,11,The memorial tonight. There’s been a lot of tears here today.. #vegasstrong #Fox10phoenix pic.twitter.com/o9bbr5Cqdz,,,#vegasstrong #Fox10phoenix,915784219632197632,https://twitter.com/gbrownfox10/status/915784219632197632
EdwPatJadeOwl,2017-10-04 15:16,0,0,Senators Introduce Bill to Ban ‘Bump Stocks’ Used in Las Vegas Shooting http:// fb.me/6znge6mKl,,,,915702172922388480,https://twitter.com/EdwPatJadeOwl/status/915702172922388480
ludovica_segre,2017-10-06 12:16,0,2,These Very Good Dogs Are Comforting The Survivors Of The Deadly Las Vegas Shooting https://www. buzzfeed.com/jimdalrympleii /these-very-good-dogs-bringing-comfort-to-the-survivors-of?utm_term=.oiwMEZAgP4 … via @JimDalrympleII,,@JimDalrympleII,,916381698966859782,https://twitter.com/ludovica_segre/status/916381698966859782
eltoca03,2017-10-03 05:37,0,0,Is this not a terrorist attack because the shooter was white? #VegasStrong,,,#VegasStrong,915194195014496256,https://twitter.com/eltoca03/status/915194195014496256
theGemini0617,2017-10-03 17:25,0,0,they sure didn't get that memo. No!No!! didn't know all they had to do was to get out of the way of a derange gunman #VegasStrong,,,#VegasStrong,915372254497710082,https://twitter.com/theGemini0617/status/915372254497710082
MommyNooz,2017-10-03 15:43,0,0,How to talk to your kids about the Las Vegas shooting - http:// bit.ly/2g8VE8v,,,,915346534904029184,https://twitter.com/MommyNooz/status/915346534904029184
notbatmanyet,2017-10-03 06:58,1,6,Civilians DO NOT need semi or full automatic weapons. Period! #VegasStrong,,,#VegasStrong,915214360879992833,https://twitter.com/notbatmanyet/status/915214360879992833
melucky873,2017-10-07 04:05,0,0,Cops Investigating Las Vegas Shooting Turn to the Public for Help: 'We Have Looked at Literally Everything' - … http:// wtp.cbecl.com pic.twitter.com/PBccYdT5dz,,,,916620513686052869,https://twitter.com/melucky873/status/916620513686052869
worldnews_net,2017-10-04 12:59,0,0,Trump thanks doctors and police who aided Las Vegas shooting victims http:// ift.tt/2xZIaW6 #LosAngelesTimes #latimes #news,,,#LosAngelesTimes #latimes #news,915667744544186368,https://twitter.com/worldnews_net/status/915667744544186368
reeseissel1,2017-10-05 16:29,0,0,they work at Charlotte NC Mecklenburg Medical Group and don't know anything about counter terrorism operations - Vegas Shooting,,,,916082890923896832,https://twitter.com/reeseissel1/status/916082890923896832
LydiaLynn89,2016-07-08 11:46,0,1,#BlueLivesMatter #PrayForDallasPolice #DallasPoliceShootings https:// twitter.com/POLICEINFLA/st atus/751374880235479041 …,,,#BlueLivesMatter #PrayForDallasPolice #DallasPoliceShootings,751487515333304320,https://twitter.com/LydiaLynn89/status/751487515333304320
CakeInYo_Throat,2016-07-08 21:30,0,0,I believed the government planned #DallasPoliceShootings because everytime I turn around No One knows the Shooter . #BlackLivesMatter,,,#DallasPoliceShootings #BlackLivesMatter,751634710787420160,https://twitter.com/CakeInYo_Throat/status/751634710787420160
