id,nouns
742782922063745024,
742139043442348032,
742445557298266112,
743852390252707842,
742110548612009986,
742065851604578304,
742716733027405824,
742097560719003648,
742501477449666560,
742433297524006912,
742096008075612161,
743591055585587200,
744314113317187588,creature
742135064079781888,
743107002876862465,
742094043857854465,shooter
742287153279959041,
742796521083707392,
742462348112207873,
742187547955200000,
743184776291561472,
742500464202153984,citizen
742440516097171456,
742391674794475521,lone wolf
742051301006008320,
742076983052492800,
742049402953437184,
743096161981104129,
742048596653023232,
742799141600792576,
742479820701962240,
743721425727459328,
742031123233046528,
742117399076474884,
742789420068245505,
742224310647984128,
742134475929190400,
742699754157576192,
742058913353322496,
742324754242240512,
742387818148855808,
743220315468226560,
742457712261337089,
742138739162370048,
742117432031072257,
742463266564149248,
743961060902744064,
743453478991716352,terrorist
742773464407236608,
743460892898004992,
743590498355585025,
742493135138357249,
743994823519109120,jihadi
742823717986664448,
743587879310352384,
743030328466382848,gunman
743963492617699328,
742459143945134080,
744233786544558081,
742753750033403904,gunman
743177553175678976,
742813580609851393,
742766311168692224,
742446770324660224,
742476482027618304,
742047477499465728,
742253004619927552,
742555232752795648,
742205805789843456,
742092558088605700,
743158762488401920,muslim
742779691992526852,
742466370349072384,shooter
743470660089962497,
742133259283267584,
743144737771753472,
742014872100077570,
742111355466055680,
742319402134208513,
742140407644033024,
743869578749444097,
742873430815559680,
742109172389535744,shooter
742435338434420737,
743456585045934080,
742180653349769217,
742258537435271168,
742340858184339456,
742359738680258560,
742726327770316801,
742102981756227584,
742456483657461760,
742129776786345984,
742540874022805509,
743526249595797508,alcoholic
742046450352295937,man
742451857117859840,
742467273953136641,
743146922458877952,
742143334139998209,
742697251550560256,
743431775238619137,
742761770922692608,gunman
742757863156813825,terrorist
742481808483225600,
742135563130638337,
742138770376400896,
743519508514508802,
742058796076433413,
743775734750150656,
742186379237576704,
743609469767139329,
742055690039001089,
743509697244835840,
742847110383607808,
742225811940380673,
233658555838889984,
232377894473707520,
232191237518663681,
232336759801913344,suspect
232526966501294081,suspect; shooter
232450256665706496,suspect
232963102709252098,
232825516338589696,
232625867468201984,
232509973526102016,white supremacist; dumbass
232262824779468801,
232498969605967873,
232407425368592385,
232500583616086016,shooter
233817298618707968,
233396222365417473,
232449658503442432,shooter
233033305472249857,
232582943061729280,
232240955326078977,
232664557611536384,suspect; assailant
232609127011082240,
232896926977241088,
232489226900500481,
232565731655577601,
232527021803204609,shooter
233192607587659778,man
233539133480525824,
232625096399937536,
233228097196003328,shooter
451525185578233856,
451986515061534721,
451521123155324928,
451694082960949248,gunman
452686802164269057,gunman
453957150528655360,shooter
451517009734684672,
